Chrome	r5.49Start	r5.49Stop	DistBetween	LengthGene1	LengthGene2
2R	5856434	5858402	541	1157	1968
2R	5858648	5860285	246	1968	1637
2R	5866824	5868300	6539	1637	1476
2R	5876664	5881064	8364	1476	4400
2R	5881395	5913547	331	4400	32152
2R	5914344	5918173	797	32152	3829
2R	5915948	5920398	0	3829	4450
2R	5920809	5922203	411	4450	1394
2R	5923041	5936124	838	1394	13083
2R	5935900	5937571	0	13083	1671
2R	5938367	5939672	796	1671	1305
2R	5940046	5951217	374	1305	11171
2R	5941683	5942081	0	11171	398
2R	5950890	5954019	8809	398	3129
2R	5954155	5954747	136	3129	592
2R	5954722	5956207	0	592	1485
2R	5956611	5958572	404	1485	1961
2R	5958486	5963150	0	1961	4664
2R	5965871	5971715	2721	4664	5844
2R	5972674	5983921	959	5844	11247
2R	5972947	5974632	0	11247	1685
2R	5983985	5986061	9353	1685	2076
2R	5986023	5987095	0	2076	1072
2R	5987182	5997192	87	1072	10010
2R	5997245	6004962	53	10010	7717
2R	6005199	6008956	237	7717	3757
2R	6008991	6010079	35	3757	1088
2R	6011793	6024977	1714	1088	13184
2R	6025161	6026772	184	13184	1611
2R	6026769	6029579	0	1611	2810
2R	6029843	6033711	264	2810	3868
2R	6033402	6079899	0	3868	46497
2R	6043421	6046436	0	46497	3015
2R	6085054	6087196	38618	3015	2142
2R	6091617	6124853	4421	2142	33236
2R	6092959	6122112	0	33236	29153
2R	6127337	6133582	5225	29153	6245
2R	6133576	6135065	0	6245	1489
2R	6135319	6136909	254	1489	1590
2R	6136725	6143000	0	1590	6275
2R	6136940	6139922	0	6275	2982
2R	6144191	6148781	4269	2982	4590
2R	6152562	6156710	3781	4590	4148
2R	6156521	6194529	0	4148	38008
2R	6194535	6197299	6	38008	2764
2R	6197618	6198648	319	2764	1030
2R	6198677	6199528	29	1030	851
2R	6201396	6209609	1868	851	8213
2R	6209700	6304501	91	8213	94801
2R	6240873	6241889	0	94801	1016
2R	6242229	6243336	340	1016	1107
2R	6243676	6244305	340	1107	629
2R	6249690	6251089	5385	629	1399
2R	6264633	6267614	13544	1399	2981
2R	6294480	6294950	26866	2981	470
2R	6296660	6297256	1710	470	596
2R	6297490	6298075	234	596	585
2R	6298275	6298718	200	585	443
2R	6306223	6307266	7505	443	1043
2R	6307919	6309413	653	1043	1494
2R	6309211	6310494	0	1494	1283
2R	6317213	6324086	6719	1283	6873
2R	6324103	6324887	17	6873	784
2R	6325490	6353206	603	784	27716
2R	6336855	6346397	0	27716	9542
2R	6353506	6356045	7109	9542	2539
2R	6356121	6357148	76	2539	1027
2R	6356978	6366072	0	1027	9094
2R	6366516	6367616	444	9094	1100
2R	6367668	6369391	52	1100	1723
2R	6369712	6430796	321	1723	61084
2R	6445393	6504785	14597	61084	59392
2R	6505167	6529312	382	59392	24145
2R	6529323	6532932	11	24145	3609
2R	6533240	6536139	308	3609	2899
2R	6536393	6537335	254	2899	942
2R	6560850	6608643	23515	942	47793
2R	6608840	6616708	197	47793	7868
2R	6612775	6614777	0	7868	2002
2R	6617083	6618423	2306	2002	1340
2R	6618861	6625875	438	1340	7014
2R	6626122	6627334	247	7014	1212
2R	6627559	6686214	225	1212	58655
2R	6678964	6680614	0	58655	1650
2R	6687925	6696443	7311	1650	8518
2R	6696902	6698160	459	8518	1258
2R	6698061	6698441	0	1258	380
2R	6698583	6699720	142	380	1137
2R	6699662	6700815	0	1137	1153
2R	6701054	6703286	239	1153	2232
2R	6703542	6707389	256	2232	3847
2R	6707483	6708683	94	3847	1200
2R	6708603	6709145	0	1200	542
2R	6709181	6709904	36	542	723
2R	6709905	6710877	1	723	972
2R	6711100	6715149	223	972	4049
2R	6714935	6723214	0	4049	8279
2R	6724075	6726232	861	8279	2157
2R	6726607	6762276	375	2157	35669
2R	6762397	6762897	121	35669	500
2R	6763253	6764801	356	500	1548
2R	6764817	6767178	16	1548	2361
2R	6767479	6770707	301	2361	3228
2R	6771052	6772441	345	3228	1389
2R	6772524	6773880	83	1389	1356
2R	6774315	6780696	435	1356	6381
2R	6780539	6781919	0	6381	1380
2R	6781964	6784727	45	1380	2763
2R	6784649	6785390	0	2763	741
2R	6785536	6786565	146	741	1029
2R	6791075	6793068	4510	1029	1993
2R	6797428	6797990	4360	1993	562
2R	6827693	6829243	29703	562	1550
2R	6865461	6994321	36218	1550	128860
2R	7007471	7009389	13150	128860	1918
2R	7011163	7013152	1774	1918	1989
2R	7023428	7026820	10276	1989	3392
2R	7026809	7059711	0	3392	32902
2R	7033794	7034633	0	32902	839
2R	7035107	7037573	474	839	2466
2R	7042401	7042798	4828	2466	397
2R	7046591	7104899	3793	397	58308
2R	7104921	7107276	22	58308	2355
2R	7107044	7109985	0	2355	2941
2R	7110376	7114251	391	2941	3875
2R	7113963	7120021	0	3875	6058
2R	7120697	7121219	676	6058	522
2R	7121500	7121970	281	522	470
2R	7122757	7123260	787	470	503
2R	7123708	7124191	448	503	483
2R	7124677	7125149	486	483	472
2R	7125613	7126500	464	472	887
2R	7126999	7127619	499	887	620
2R	7129250	7129699	1631	620	449
2R	7131759	7132704	2060	449	945
2R	7132949	7133263	245	945	314
2R	7133622	7134161	359	314	539
2R	7133622	7134161	0	539	539
2R	7133622	7134019	0	539	397
2R	7137873	7139418	3854	397	1545
2R	7139256	7140903	0	1545	1647
2R	7142672	7143488	1769	1647	816
2R	7144012	7146272	524	816	2260
2R	7146611	7147481	339	2260	870
2R	7148584	7149311	1103	870	727
2R	7152631	7154361	3320	727	1730
2R	7154420	7160080	59	1730	5660
2R	7161540	7162791	1460	5660	1251
2R	7165462	7165950	2671	1251	488
2R	7166398	7167188	448	488	790
2R	7167230	7168538	42	790	1308
2R	7167989	7171476	0	1308	3487
2R	7171788	7172603	312	3487	815
2R	7172653	7177277	50	815	4624
2R	7177193	7178601	0	4624	1408
2R	7178499	7180679	0	1408	2180
2R	7180036	7181096	0	2180	1060
2R	7181281	7182091	185	1060	810
2R	7182041	7185025	0	810	2984
2R	7189421	7193112	4396	2984	3691
2R	7189752	7190492	0	3691	740
2R	7193016	7195033	2524	740	2017
2R	7195384	7197334	351	2017	1950
2R	7197840	7206181	506	1950	8341
2R	7207215	7208817	1034	8341	1602
2R	7211819	7223968	3002	1602	12149
2R	7224345	7225296	377	12149	951
2R	7225300	7226238	4	951	938
2R	7226691	7227637	453	938	946
2R	7228018	7228928	381	946	910
2R	7229219	7230265	291	910	1046
2R	7231765	7232624	1500	1046	859
2R	7232742	7233571	118	859	829
2R	7233840	7234641	269	829	801
2R	7238316	7239126	3675	801	810
2R	7241069	7241878	1943	810	809
2R	7243619	7244105	1741	809	486
2R	7244225	7245042	120	486	817
2R	7245407	7246681	365	817	1274
2R	7246942	7247668	261	1274	726
2R	7248211	7249376	543	726	1165
2R	7249405	7250910	29	1165	1505
2R	7254215	7257792	3305	1505	3577
2R	7257805	7258668	13	3577	863
2R	7261112	7264614	2444	863	3502
2R	7264698	7266682	84	3502	1984
2R	7267852	7271619	1170	1984	3767
2R	7272248	7284937	629	3767	12689
2R	7274665	7276284	0	12689	1619
2R	7293102	7295584	16818	1619	2482
2R	7296081	7296954	497	2482	873
2R	7297315	7297943	361	873	628
2R	7298708	7317150	765	628	18442
2R	7302015	7302967	0	18442	952
2R	7320155	7320803	17188	952	648
2R	7323748	7329721	2945	648	5973
2R	7330010	7339109	289	5973	9099
2R	7339548	7352775	439	9099	13227
2R	7361970	7394685	9195	13227	32715
2R	7411511	7415715	16826	32715	4204
2R	7464990	7503550	49275	4204	38560
2R	7504374	7506528	824	38560	2154
2R	7506984	7528446	456	2154	21462
2R	7528982	7539121	536	21462	10139
2R	7539362	7539844	241	10139	482
2R	7540261	7566859	417	482	26598
2R	7542403	7543267	0	26598	864
2R	7553273	7562287	10006	864	9014
2R	7563440	7565519	1153	9014	2079
2R	7566997	7576062	1478	2079	9065
2R	7571670	7573939	0	9065	2269
2R	7576441	7578368	2502	2269	1927
2R	7578790	7582951	422	1927	4161
2R	7588152	7589954	5201	4161	1802
2R	7599768	7613850	9814	1802	14082
2R	7644322	7701667	30472	14082	57345
2R	7655958	7657066	0	57345	1108
2R	7666031	7666740	8965	1108	709
2R	7675313	7676998	8573	709	1685
2R	7712850	7714602	35852	1685	1752
2R	7714675	7727049	73	1752	12374
2R	7729113	7729669	2064	12374	556
2R	7729608	7731745	0	556	2137
2R	7732829	7739829	1084	2137	7000
2R	7740122	7748707	293	7000	8585
2R	7748815	7749520	108	8585	705
2R	7750042	7750757	522	705	715
2R	7752681	7753888	1924	715	1207
2R	7754448	7755084	560	1207	636
2R	7754448	7755084	0	636	636
2R	7755381	7773090	297	636	17709
2R	7773572	7775108	482	17709	1536
2R	7775073	7778500	0	1536	3427
2R	7778901	7783267	401	3427	4366
2R	7783502	7791423	235	4366	7921
2R	7787022	7788899	0	7921	1877
2R	7791828	7800284	2929	1877	8456
2R	7827062	7854940	26778	8456	27878
2R	7854848	7857620	0	27878	2772
2R	7858191	7865226	571	2772	7035
2R	7865041	7866523	0	7035	1482
2R	7866599	7868043	76	1482	1444
2R	7868082	7870461	39	1444	2379
2R	7870650	7872898	189	2379	2248
2R	7873513	7875158	615	2248	1645
2R	7874018	7876292	0	1645	2274
2R	7876636	7879855	344	2274	3219
2R	7888978	7907351	9123	3219	18373
2R	7910651	7912777	3300	18373	2126
2R	7913119	7915212	342	2126	2093
2R	7915490	7921230	278	2093	5740
2R	7921451	7923765	221	5740	2314
2R	7923426	7924670	0	2314	1244
2R	7924803	7926356	133	1244	1553
2R	7926595	7930128	239	1553	3533
2R	7932117	7937677	1989	3533	5560
2R	7938482	7939260	805	5560	778
2R	7942594	7950371	3334	778	7777
2R	7952070	7967048	1699	7777	14978
2R	7968781	7969562	1733	14978	781
2R	7972699	8006845	3137	781	34146
2R	8026200	8026829	19355	34146	629
2R	8026800	8027734	0	629	934
2R	8028136	8030777	402	934	2641
2R	8030696	8032038	0	2641	1342
2R	8033215	8040257	1177	1342	7042
2R	8033529	8038562	0	7042	5033
2R	8040576	8041768	2014	5033	1192
2R	8041763	8050503	0	1192	8740
2R	8051180	8051941	677	8740	761
2R	8052414	8053224	473	761	810
2R	8054081	8061769	857	810	7688
2R	8056236	8057508	0	7688	1272
2R	8062307	8065021	4799	1272	2714
2R	8064935	8066058	0	2714	1123
2R	8066988	8067407	930	1123	419
2R	8067998	8069878	591	419	1880
2R	8070144	8073011	266	1880	2867
2R	8070144	8073011	0	2867	2867
2R	8071349	8071815	0	2867	466
2R	8073172	8075936	1357	466	2764
2R	8075843	8077882	0	2764	2039
2R	8078187	8079941	305	2039	1754
2R	8079879	8086359	0	1754	6480
2R	8086529	8088320	170	6480	1791
2R	8096398	8099660	8078	1791	3262
2R	8101509	8101900	1849	3262	391
2R	8111966	8116815	10066	391	4849
2R	8127904	8128318	11089	4849	414
2R	8128723	8129377	405	414	654
2R	8130051	8130778	674	654	727
2R	8131504	8132206	726	727	702
2R	8141497	8143206	9291	702	1709
2R	8144787	8146157	1581	1709	1370
2R	8146903	8166314	746	1370	19411
2R	8167278	8185752	964	19411	18474
2R	8186252	8189745	500	18474	3493
2R	8190049	8193774	304	3493	3725
2R	8194033	8197917	259	3725	3884
2R	8198194	8201339	277	3884	3145
2R	8201622	8205078	283	3145	3456
2R	8208743	8210302	3665	3456	1559
2R	8210012	8213763	0	1559	3751
2R	8213865	8221365	102	3751	7500
2R	8222821	8223710	1456	7500	889
2R	8224395	8225223	685	889	828
2R	8225302	8227049	79	828	1747
2R	8227115	8232122	66	1747	5007
2R	8232488	8238830	366	5007	6342
2R	8239298	8242918	468	6342	3620
2R	8243176	8246592	258	3620	3416
2R	8246941	8250670	349	3416	3729
2R	8250825	8254084	155	3729	3259
2R	8250825	8254084	0	3259	3259
2R	8254858	8258391	774	3259	3533
2R	8259099	8262586	708	3533	3487
2R	8262791	8263183	205	3487	392
2R	8264131	8264883	948	392	752
2R	8265945	8266901	1062	752	956
2R	8267119	8267931	218	956	812
2R	8270550	8272025	2619	812	1475
2R	8274465	8277562	2440	1475	3097
2R	8278401	8279204	839	3097	803
2R	8280988	8282347	1784	803	1359
2R	8282412	8286647	65	1359	4235
2R	8289721	8292613	3074	4235	2892
2R	8293437	8294027	824	2892	590
2R	8295298	8296028	1271	590	730
2R	8296459	8297240	431	730	781
2R	8301467	8302675	4227	781	1208
2R	8303549	8305736	874	1208	2187
2R	8307316	8310040	1580	2187	2724
2R	8310436	8312964	396	2724	2528
2R	8312988	8314480	24	2528	1492
2R	8314388	8315366	0	1492	978
2R	8315954	8318604	588	978	2650
2R	8318952	8324082	348	2650	5130
2R	8323625	8324495	0	5130	870
2R	8324850	8340421	355	870	15571
2R	8328138	8328825	0	15571	687
2R	8340695	8353135	11870	687	12440
2R	8353183	8359280	48	12440	6097
2R	8356156	8359227	0	6097	3071
2R	8359420	8361526	193	3071	2106
2R	8361929	8375491	403	2106	13562
2R	8374224	8374883	0	13562	659
2R	8374956	8394838	73	659	19882
2R	8383177	8388964	0	19882	5787
2R	8395401	8398120	6437	5787	2719
2R	8399039	8402567	919	2719	3528
2R	8402880	8404789	313	3528	1909
2R	8404769	8406417	0	1909	1648
2R	8406671	8409129	254	1648	2458
2R	8416558	8451689	7429	2458	35131
2R	8449565	8450160	0	35131	595
2R	8451729	8452406	1569	595	677
2R	8453690	8456566	1284	677	2876
2R	8456519	8457352	0	2876	833
2R	8457872	8459388	520	833	1516
2R	8459573	8462804	185	1516	3231
2R	8462745	8480422	0	3231	17677
2R	8476744	8478640	0	17677	1896
2R	8481109	8499573	2469	1896	18464
2R	8500245	8510702	672	18464	10457
2R	8511231	8512857	529	10457	1626
2R	8513313	8516124	456	1626	2811
2R	8516202	8519883	78	2811	3681
2R	8521094	8521677	1211	3681	583
2R	8521671	8523646	0	583	1975
2R	8521671	8523646	0	1975	1975
2R	8524176	8528133	530	1975	3957
2R	8528195	8535729	62	3957	7534
2R	8538806	8539992	3077	7534	1186
2R	8540310	8543248	318	1186	2938
2R	8543459	8546846	211	2938	3387
2R	8547002	8557722	156	3387	10720
2R	8557988	8567098	266	10720	9110
2R	8567472	8573684	374	9110	6212
2R	8573754	8576291	70	6212	2537
2R	8576238	8577381	0	2537	1143
2R	8577564	8578460	183	1143	896
2R	8578813	8580195	353	896	1382
2R	8587586	8588356	7391	1382	770
2R	8592677	8639050	4321	770	46373
2R	8638988	8640441	0	46373	1453
2R	8640531	8643919	90	1453	3388
2R	8643939	8644678	20	3388	739
2R	8644638	8645034	0	739	396
2R	8645051	8647229	17	396	2178
2R	8647198	8648504	0	2178	1306
2R	8649618	8651330	1114	1306	1712
2R	8668046	8689515	16716	1712	21469
2R	8694119	8695316	4604	21469	1197
2R	8728318	8730063	33002	1197	1745
2R	8730170	8732209	107	1745	2039
2R	8733049	8734101	840	2039	1052
2R	8734353	8735509	252	1052	1156
2R	8735539	8736481	30	1156	942
2R	8736863	8756928	382	942	20065
2R	8757754	8759299	826	20065	1545
2R	8760292	8762517	993	1545	2225
2R	8762669	8764471	152	2225	1802
2R	8764599	8767735	128	1802	3136
2R	8766337	8770673	0	3136	4336
2R	8772137	8786890	1464	4336	14753
2R	8803499	8811239	16609	14753	7740
2R	8811409	8812169	170	7740	760
2R	8812072	8818149	0	760	6077
2R	8818417	8821550	268	6077	3133
2R	8821739	8824040	189	3133	2301
2R	8824396	8827917	356	2301	3521
2R	8825121	8825848	0	3521	727
2R	8827828	8833852	1980	727	6024
2R	8835853	8839798	2001	6024	3945
2R	8837909	8839798	0	3945	1889
2R	8841058	8842675	1260	1889	1617
2R	8853827	8868499	11152	1617	14672
2R	8881402	8882127	12903	14672	725
2R	8884006	8895307	1879	725	11301
2R	8934241	8934761	38934	11301	520
2R	8936652	8937142	1891	520	490
2R	8942751	8967044	5609	490	24293
2R	8998274	9013285	31230	24293	15011
2R	9015420	9016557	2135	15011	1137
2R	9017016	9019960	459	1137	2944
2R	9020647	9030325	687	2944	9678
2R	9030339	9040182	14	9678	9843
2R	9040390	9046646	208	9843	6256
2R	9047568	9050989	922	6256	3421
2R	9050868	9051453	0	3421	585
2R	9051559	9055537	106	585	3978
2R	9056003	9058249	466	3978	2246
2R	9058906	9062301	657	2246	3395
2R	9062900	9063580	599	3395	680
2R	9063599	9085842	19	680	22243
2R	9063599	9077591	0	22243	13992
2R	9067187	9077591	0	13992	10404
2R	9086355	9090214	8764	10404	3859
2R	9090233	9094027	19	3859	3794
2R	9094250	9097974	223	3794	3724
2R	9097314	9099680	0	3724	2366
2R	9099910	9102001	230	2366	2091
2R	9102211	9103265	210	2091	1054
2R	9103164	9106752	0	1054	3588
2R	9106999	9107733	247	3588	734
2R	9107788	9108520	55	734	732
2R	9108444	9109964	0	732	1520
2R	9109938	9115707	0	1520	5769
2R	9115781	9117739	74	5769	1958
2R	9118088	9119168	349	1958	1080
2R	9119263	9122551	95	1080	3288
2R	9123485	9124560	934	3288	1075
2R	9124761	9126973	201	1075	2212
2R	9127234	9128518	261	2212	1284
2R	9134175	9135264	5657	1284	1089
2R	9136399	9139214	1135	1089	2815
2R	9139357	9141842	143	2815	2485
2R	9144088	9144883	2246	2485	795
2R	9145391	9145982	508	795	591
2R	9147606	9153841	1624	591	6235
2R	9155303	9183432	1462	6235	28129
2R	9184707	9185972	1275	28129	1265
2R	9187104	9189052	1132	1265	1948
2R	9241143	9242026	52091	1948	883
2R	9263480	9265236	21454	883	1756
2R	9277178	9280800	11942	1756	3622
2R	9281210	9282172	410	3622	962
2R	9282120	9286873	0	962	4753
2R	9294516	9295863	7643	4753	1347
2R	9295547	9297392	0	1347	1845
2R	9302483	9326556	5091	1845	24073
2R	9310483	9311152	0	24073	669
2R	9310483	9311152	0	669	669
2R	9320533	9321265	9381	669	732
2R	9321712	9322550	447	732	838
2R	9326819	9337980	4269	838	11161
2R	9333205	9333814	0	11161	609
2R	9338091	9340898	4277	609	2807
2R	9341145	9370734	247	2807	29589
2R	9364847	9365584	0	29589	737
2R	9371017	9372896	5433	737	1879
2R	9373122	9374136	226	1879	1014
2R	9374139	9382367	3	1014	8228
2R	9382727	9390346	360	8228	7619
2R	9390080	9393516	0	7619	3436
2R	9393935	9400617	419	3436	6682
2R	9395062	9396837	0	6682	1775
2R	9400637	9421756	3800	1775	21119
2R	9402764	9404957	0	21119	2193
2R	9409274	9410880	4317	2193	1606
2R	9412882	9413953	2002	1606	1071
2R	9424893	9435082	10940	1071	10189
2R	9434650	9440666	0	10189	6016
2R	9441587	9443111	921	6016	1524
2R	9443398	9444847	287	1524	1449
2R	9446050	9448273	1203	1449	2223
2R	9459029	9460045	10756	2223	1016
2R	9461123	9461747	1078	1016	624
2R	9468091	9480841	6344	624	12750
2R	9481154	9484068	313	12750	2914
2R	9484182	9486255	114	2914	2073
2R	9488215	9488517	1960	2073	302
2R	9492079	9492910	3562	302	831
2R	9496178	9496683	3268	831	505
2R	9510593	9636872	13910	505	126279
2R	9549000	9551103	0	126279	2103
2R	9552619	9555184	1516	2103	2565
2R	9555241	9558824	57	2565	3583
2R	9579212	9580874	20388	3583	1662
2R	9642849	9646362	61975	1662	3513
2R	9657420	9675307	11058	3513	17887
2R	9665629	9667750	0	17887	2121
2R	9682282	9692736	14532	2121	10454
2R	9692979	9707076	243	10454	14097
2R	9707129	9712054	53	14097	4925
2R	9712397	9713082	343	4925	685
2R	9713880	9720419	798	685	6539
2R	9721359	9722593	940	6539	1234
2R	9723926	9726869	1333	1234	2943
2R	9727581	9729248	712	2943	1667
2R	9729255	9733757	7	1667	4502
2R	9733898	9737340	141	4502	3442
2R	9737387	9740488	47	3442	3101
2R	9740452	9741836	0	3101	1384
2R	9742083	9743270	247	1384	1187
2R	9743655	9746222	385	1187	2567
2R	9746462	9747937	240	2567	1475
2R	9747854	9749507	0	1475	1653
2R	9749517	9751661	10	1653	2144
2R	9751742	9829615	81	2144	77873
2R	9830039	9830882	424	77873	843
2R	9830892	9845594	10	843	14702
2R	9841700	9843169	0	14702	1469
2R	9841700	9843169	0	1469	1469
2R	9846033	9847909	2864	1469	1876
2R	9848164	9855486	255	1876	7322
2R	9855852	9857407	366	7322	1555
2R	9857415	9858662	8	1555	1247
2R	9859106	9860336	444	1247	1230
2R	9860504	9867670	168	1230	7166
2R	9867867	9870979	197	7166	3112
2R	9871070	9872398	91	3112	1328
2R	9872320	9878215	0	1328	5895
2R	9878686	9947861	471	5895	69175
2R	9916123	9916611	0	69175	488
2R	9947961	10028407	31350	488	80446
2R	9977830	9978479	0	80446	649
2R	9978536	9979319	57	649	783
2R	10035768	10040624	56449	783	4856
2R	10040661	10044611	37	4856	3950
2R	10044555	10044984	0	3950	429
2R	10045276	10046939	292	429	1663
2R	10046896	10048754	0	1663	1858
2R	10048940	10050326	186	1858	1386
2R	10050571	10052374	245	1386	1803
2R	10052560	10054496	186	1803	1936
2R	10054487	10055738	0	1936	1251
2R	10056361	10057738	623	1251	1377
2R	10057971	10060503	233	1377	2532
2R	10060491	10061133	0	2532	642
2R	10061175	10070345	42	642	9170
2R	10073324	10085730	2979	9170	12406
2R	10085983	10088699	253	12406	2716
2R	10088888	10099914	189	2716	11026
2R	10102740	10104132	2826	11026	1392
2R	10107425	10118131	3293	1392	10706
2R	10118116	10122954	0	10706	4838
2R	10123292	10127208	338	4838	3916
2R	10127442	10131167	234	3916	3725
2R	10131192	10133571	25	3725	2379
2R	10134471	10140102	900	2379	5631
2R	10140103	10143697	1	5631	3594
2R	10143966	10146292	269	3594	2326
2R	10146537	10148655	245	2326	2118
2R	10148711	10155419	56	2118	6708
2R	10156275	10158159	856	6708	1884
2R	10158306	10162377	147	1884	4071
2R	10163809	10187349	1432	4071	23540
2R	10187608	10189858	259	23540	2250
2R	10195667	10239312	5809	2250	43645
2R	10239744	10243180	432	43645	3436
2R	10243274	10244789	94	3436	1515
2R	10245432	10247799	643	1515	2367
2R	10247938	10249285	139	2367	1347
2R	10247938	10249285	0	1347	1347
2R	10249449	10250330	164	1347	881
2R	10250548	10252978	218	881	2430
2R	10253161	10254163	183	2430	1002
2R	10254337	10255379	174	1002	1042
2R	10255536	10256554	157	1042	1018
2R	10256747	10257824	193	1018	1077
2R	10257836	10258621	12	1077	785
2R	10258691	10260511	70	785	1820
2R	10258691	10260511	0	1820	1820
2R	10260629	10261264	118	1820	635
2R	10262077	10262836	813	635	759
2R	10263426	10264182	590	759	756
2R	10265630	10272864	1448	756	7234
2R	10278291	10279831	5427	7234	1540
2R	10297522	10299077	17691	1540	1555
2R	10299316	10301356	239	1555	2040
2R	10307846	10312099	6490	2040	4253
2R	10314841	10319840	2742	4253	4999
2R	10323404	10353386	3564	4999	29982
2R	10368716	10384817	15330	29982	16101
2R	10386201	10390984	1384	16101	4783
2R	10391463	10399998	479	4783	8535
2R	10400047	10402713	49	8535	2666
2R	10401539	10402500	0	2666	961
2R	10413772	10475422	11272	961	61650
2R	10431655	10433877	0	61650	2222
2R	10458315	10463276	24438	2222	4961
2R	10478708	10483126	15432	4961	4418
2R	10483112	10488702	0	4418	5590
2R	10488769	10489515	67	5590	746
2R	10489509	10491857	0	746	2348
2R	10492052	10492840	195	2348	788
2R	10493157	10493774	317	788	617
2R	10493812	10494466	38	617	654
2R	10494659	10505550	193	654	10891
2R	10506235	10507186	685	10891	951
2R	10507303	10508820	117	951	1517
2R	10517418	10518526	8598	1517	1108
2R	10527719	10528131	9193	1108	412
2R	10532776	10533676	4645	412	900
2R	10544303	10546260	10627	900	1957
2R	10551751	10552856	5491	1957	1105
2R	10553146	10554322	290	1105	1176
2R	10555896	10559180	1574	1176	3284
2R	10559458	10601127	278	3284	41669
2R	10561970	10565641	0	41669	3671
2R	10562111	10565641	0	3671	3530
2R	10626864	10632834	61223	3530	5970
2R	10633462	10634219	628	5970	757
2R	10634876	10635699	657	757	823
2R	10636728	10637670	1029	823	942
2R	10637671	10640415	1	942	2744
2R	10640031	10640774	0	2744	743
2R	10640842	10643793	68	743	2951
2R	10644020	10644577	227	2951	557
2R	10644569	10645358	0	557	789
2R	10645412	10647107	54	789	1695
2R	10647151	10656927	44	1695	9776
2R	10657104	10658804	177	9776	1700
2R	10657939	10660135	0	1700	2196
2R	10660152	10694566	17	2196	34414
2R	10695925	10697436	1359	34414	1511
2R	10705362	10707492	7926	1511	2130
2R	10720338	10721456	12846	2130	1118
2R	10730225	10733379	8769	1118	3154
2R	10733569	10735878	190	3154	2309
2R	10736126	10740155	248	2309	4029
2R	10740470	10741453	315	4029	983
2R	10741368	10742573	0	983	1205
2R	10742947	10745007	374	1205	2060
2R	10744952	10746138	0	2060	1186
2R	10746350	10748250	212	1186	1900
2R	10748661	10758575	411	1900	9914
2R	10759178	10760970	603	9914	1792
2R	10761459	10763063	489	1792	1604
2R	10763338	10765159	275	1604	1821
2R	10765293	10767257	134	1821	1964
2R	10766861	10768877	0	1964	2016
2R	10769625	10771551	748	2016	1926
2R	10772769	10774456	1218	1926	1687
2R	10774676	10776514	220	1687	1838
2R	10787000	10788556	10486	1838	1556
2R	10788980	10815930	424	1556	26950
2R	10817588	10822366	1658	26950	4778
2R	10821020	10821418	0	4778	398
2R	10823182	10827807	1764	398	4625
2R	10830116	10831974	2309	4625	1858
2R	10831963	10850451	0	1858	18488
2R	10850819	10868089	368	18488	17270
2R	10868782	10878841	693	17270	10059
2R	10875170	10879728	0	10059	4558
2R	10879837	10881340	109	4558	1503
2R	10882155	10882700	815	1503	545
2R	10898903	10928901	16203	545	29998
2R	10900604	10901004	0	29998	400
2R	10911880	10912344	10876	400	464
2R	11002762	11032288	90418	464	29526
2R	11032473	11033024	185	29526	551
2R	11033330	11035329	306	551	1999
2R	11035365	11037214	36	1999	1849
2R	11042942	11077797	5728	1849	34855
2R	11072663	11073457	0	34855	794
2R	11086570	11088681	13113	794	2111
2R	11088801	11091971	120	2111	3170
2R	11092159	11093839	188	3170	1680
2R	11092159	11093839	0	1680	1680
2R	11094032	11101137	193	1680	7105
2R	11095498	11097291	0	7105	1793
2R	11101786	11103191	4495	1793	1405
2R	11103716	11104575	525	1405	859
2R	11104529	11105118	0	859	589
2R	11105886	11111329	768	589	5443
2R	11106342	11107917	0	5443	1575
2R	11111061	11129084	3144	1575	18023
2R	11136290	11146003	7206	18023	9713
2R	11146272	11150371	269	9713	4099
2R	11150313	11196873	0	4099	46560
2R	11182100	11182593	0	46560	493
2R	11184269	11185834	1676	493	1565
2R	11197436	11198639	11602	1565	1203
2R	11198991	11205347	352	1203	6356
2R	11205349	11209674	2	6356	4325
2R	11209979	11212399	305	4325	2420
2R	11213338	11213888	939	2420	550
2R	11214638	11215770	750	550	1132
2R	11219106	11226825	3336	1132	7719
2R	11237659	11255807	10834	7719	18148
2R	11255577	11259021	0	18148	3444
2R	11262351	11263204	3330	3444	853
2R	11262351	11263204	0	853	853
2R	11264124	11268465	920	853	4341
2R	11268223	11275356	0	4341	7133
2R	11288601	11358596	13245	7133	69995
2R	11296351	11296618	0	69995	267
2R	11310690	11311612	14072	267	922
2R	11314596	11315528	2984	922	932
2R	11359970	11370338	44442	932	10368
2R	11373457	11384712	3119	10368	11255
2R	11387137	11388936	2425	11255	1799
2R	11389325	11391115	389	1799	1790
2R	11391706	11393505	591	1790	1799
2R	11394087	11395871	582	1799	1784
2R	11399215	11403102	3344	1784	3887
2R	11403283	11419759	181	3887	16476
2R	11421025	11425287	1266	16476	4262
2R	11425718	11427519	431	4262	1801
2R	11427059	11428840	0	1801	1781
2R	11428922	11430003	82	1781	1081
2R	11430175	11431922	172	1081	1747
2R	11431820	11437485	0	1747	5665
2R	11442951	11449941	5466	5665	6990
2R	11450201	11453291	260	6990	3090
2R	11453772	11456907	481	3090	3135
2R	11457035	11458918	128	3135	1883
2R	11458973	11460676	55	1883	1703
